代码,名字,近期涨跌幅,市盈率,行业,当日涨跌幅2025-08-23 21:45:43
603238,诺邦股份,0.21591574019894683,29.52,未知行业,-1.99,
603255,鼎际得,0.09494086727989477,-323.11,未知行业,-0.58,
603272,联翔股份,0.10824453168816621,1751.62,未知行业,-0.92,
603289,泰瑞机器,0.09270833333333339,41.57,未知行业,-1.73,
603297,永新光学,0.15796750777739363,49.46,未知行业,1.68,
603291,联合水务,0.07363013698630132,104.73,未知行业,-1.12,
603311,金海高科,0.0587719298245614,15.96,未知行业,-1.17,
603309,维力医疗,0.07813620071684588,17.67,未知行业,-2.08,
603305,旭升集团,0.1474793077501882,37.2,未知行业,0.95,
603308,应流股份,0.12354763749031764,51.49,未知行业,2.11,
603328,依顿电子,0.11684518013631949,24.11,未知行业,0.72,
603324,盛剑科技,0.062239089184060604,50.07,未知行业,0.84,
603331,百达精工,0.09587727708533078,26.39,未知行业,-1.23,
603338,浙江鼎力,0.12287875690042947,13.01,未知行业,-0.22,
603344,星德胜,0.11222847948511662,31.97,未知行业,-0.62,
603358,华达科技,0.12432123463846817,99.6,未知行业,0.83,
603355,莱克电气,0.07428323197219813,15.35,未知行业,-1.33,
603386,骏亚科技,0.15627240143369175,67.35,未知行业,-0.13,
603489,八方股份,0.09706210487169949,78.4,未知行业,0.38,
603589,口子窖,0.063701923076923,14.49,未知行业,-0.29,
603587,地素时尚,0.0851910828025478,19.26,未知行业,-0.59,
603612,索通发展,0.16349809885931565,11.43,未知行业,-1.07,
603686,福龙马,0.24589127686472823,42.68,未知行业,-0.21,
603708,家家悦,0.05497630331753555,12.36,未知行业,-1.26,
603713,密尔克卫,0.1657634087086527,13.77,未知行业,-1.75,
603733,仙鹤股份,0.24069712670748938,19.26,未知行业,1.13,
603788,宁波高发,0.11708860759493657,21.02,未知行业,-0.46,
603858,步长制药,0.06322795341098172,16.28,未知行业,-1.04,
603897,长城科技,0.1734439834024896,20.79,未知行业,2.71,
603919,金徽酒,0.12438084755090797,17.1,未知行业,-0.1,
603968,醋化股份,0.062652563059398,-98.09,未知行业,-1.07,
605058,澳弘电子,0.060165975103734386,26.7,未知行业,0.23,
605222,起帆电缆,0.05029013539651833,23.75,未知行业,-0.37,
605287,德才股份,0.09043591411841265,13.19,未知行业,-1.49,
605555,德昌股份,0.10933660933660919,26.67,未知行业,0.28,
