????,????,?????????,?????,???,?????????2025-07-02 10:50:49
002628,???΅¤??,0.125301204819277,-122.85,???????,-0.89
300430,?????,0.13867822318526538,41.85,????υτ,-2.86
002815,??£ά??,0.1227053140096618,38.0,???????,-3.87
300250,???????,0.145565335138795,-99.21,??????????,-3.96
001336,???????,0.10629514963880302,56.33,????υτ,0.61
300505,?????,0.10763888888888885,26.53,???????,-1.73
300688,???????,0.15503875968992256,-91.59,????,-0.79
603129,???ΎT??,0.1394412154583462,18.36,?????υτ,-1.94
300366,???????,0.10825439783491203,-25.23,????????,-1.75
600854,???????,0.11603375527426156,14.32,??????,-0.19
002209,?? ?? ?,0.11218229623137593,41.36,????υτ,-0.47
300103,?????,0.13192182410423461,-59.92,????υτ,0.15
002512,??????,0.11304347826086968,84.79,??????υτ,-1.0
301126,??????,0.10273972602739714,51.73,?????,-0.62
301566,????????,0.12424242424242428,58.43,???????,-1.59
300976,???????,0.14670658682634724,28.32,???????,-2.14
300535,???????,0.12466487935656845,39.77,??????,0.06
600288,?????,0.15946843853820614,-507.71,???????,-1.81
300700,??????,0.19999999999999993,-30.07,????υτ,-2.53
300314,??????,0.10282776349614389,47.87,?????§Φ,-1.17
300073,???????,0.14404145077720193,36.93,???,-1.22
002632,???????,0.11244019138755997,33.09,???????,-2.04
002055,???????,0.1568938193343899,-24.19,???????,-2.23
605287,?????,0.13460076045627373,19.15,??????,0.34
605555,??????,0.10393071285809463,24.23,??????,-1.77
300780,???????,0.11349480968858136,-49.11,????υτ,-0.06
300769,?΅¤?????,0.19603680113234237,-8.99,???,-1.23
002631,???¦Δ??,0.1004566210045663,2247.2,??????,2.99
603701,?????,0.1296296296296297,229.86,????????,-0.06
002666,????????,0.10470085470085476,37.16,??????,0.0
002908,???????,0.11487964989059068,354.62,????????,-1.61
002715,??????,0.10290697674418603,141.54,????????,-0.32
603320,???????,0.11151960784313728,41.99,???,0.89
300842,?????,0.1146016587082182,19.73,????υτ,1.09
300805,???????,0.10351562500000004,594.85,??????,-1.1
603255,?????,0.22847031065670464,289.07,??????,-2.87
301377,??????,0.24731182795698936,52.68,????υτ,-2.18
300239,????????,0.10428305400372433,37.62,???????,-0.35
600178,????????,0.25227460711331684,-2689.95,????????,5.51
300217,????????,0.1286307053941909,20.78,??????,-0.38
002545,????????,0.11463414634146359,15.45,???????,-0.33
300171,??????,0.1130653266331658,51.63,?????§Φ,-1.36
002117,??????,0.12842304060434367,67.37,?????,-1.21
600114,???????,0.10423452768729631,38.87,????υτ,-1.33
301359,???????,0.106280193236715,49.81,???????,-0.15
301183,?????,0.11631944444444443,83.17,????????,-1.91
600052,???????,0.14143920595533482,31.05,???????,0.0
601555,??????,0.10850801479654758,17.05,??,-0.22
600673,??????,0.2772177419354839,76.47,??????,-0.63
600841,???????,0.17005545286506468,-5.88,????????,-2.37
600405,?????,0.21581196581196596,-17.37,????υτ,-0.18
