序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
637,603615,茶花股份,28.4,2.86,0.79,52354,148068056,5.51,28.98,27.46,27.98,27.61,1.15,2.16,-348.5,5.91,6867688000,6867688000,-0.18,-0.04,37.66,24.13
1791,300151,昌红科技,16.15,0.94,0.15,107131,173974041.2,2.94,16.4,15.93,16,16,1.21,2.91,79.23,5.46,8600015344,5954456179,-0.06,-0.19,-16.28,-5
1023,2478,常宝股份,5.41,1.88,0.1,250882,136457587.8,3.01,5.49,5.33,5.38,5.31,2.1,3.49,8.89,0.9,4876283093,3892981565,0,-0.18,-1.46,2.27
407,2160,常铝股份,4.07,3.83,0.15,571203,233806602.5,4.08,4.18,4.02,4.09,3.92,3.31,7.2,59.39,1.14,4203419350,3229668313,-0.25,-0.25,-6.65,9.41
1327,603768,常青股份,13.57,1.42,0.19,44743,60355890,2.91,13.65,13.26,13.37,13.38,1.02,1.88,34.3,1.31,3229060979,3229060979,0.07,0.07,-0.22,12.9
1109,603125,常青科技,19.93,1.74,0.34,27589,54865279,2.35,20.13,19.67,19.71,19.59,1.8,3.95,26.78,2.44,5564406175,1391173790,0,0.15,-1.73,3.8
2977,603201,常润股份,19.63,0.15,0.03,16348,31880546,2.24,19.75,19.31,19.71,19.6,0.41,2.52,15.26,2.01,3108713489,1271225746,-0.05,-0.1,2.94,16.09
1927,158,常山北明,27.15,0.82,0.22,2214752,6119679211,5.27,28.49,27.07,27.25,26.93,1.25,13.95,-114.4,7.79,43402443975,43109280692,0,-0.04,8.12,34.81
1527,300255,常山药业,20.34,1.19,0.24,135373,272273570,3.23,20.5,19.85,20.02,20.1,1,1.48,1923.2,10.28,18693698259,18629592294,-0.05,0.05,-6.35,1.75
1065,603035,常熟汽饰,15.27,1.8,0.27,127545,193648517,2.93,15.41,14.97,15.16,15,0.9,3.36,11.29,1.1,5803072347,5803072347,0,0,2,6.12
3271,601128,常熟银行,7.12,0,0,421235,301733845,1.69,7.21,7.09,7.12,7.12,1.22,1.4,5.41,0.8,21466689099,21466689099,-0.14,-0.14,-7.89,-5.94
2354,301557,常友科技,87.77,0.54,0.47,23921,210403896.2,3.71,89.8,86.56,87.31,87.3,0.58,21.59,36.96,3.9,3888901838,972491600,0.07,-0.01,203.91,203.91
3950,603648,畅联股份,9.96,-0.5,-0.05,48690,48526154,1.8,10.09,9.91,10.07,10.01,0.73,1.34,27.58,1.95,3609631488,3609631488,0,0,-3.86,-2.92
3179,301186,超达装备,42.54,0,0,9559,40633578.62,1.6,42.9,42.22,42.55,42.54,0.71,1.29,33.23,2.35,3380437867,3158047510,0,-0.02,-1.28,6.64
1624,301005,超捷股份,38.86,1.09,0.42,135819,517805364.1,5.88,39.26,37,37.5,38.44,0.54,10.26,154.19,6.83,5240735338,5143967604,0,0.23,18.66,32.85
1124,300647,超频三,6.56,1.71,0.11,171571,112330661,2.79,6.63,6.45,6.5,6.45,1.15,3.76,-48.06,3.19,3000025917,2995572458,-0.15,0,-17.38,6.67
3735,823,超声电子,11.37,-0.35,-0.04,176872,200327261.3,2.02,11.46,11.23,11.46,11.41,0.93,3.29,31.07,1.33,6105587966,6105070767,0,-0.09,14.39,10.17
1379,300036,超图软件,17.84,1.36,0.24,109777,194664293,2.33,17.89,17.48,17.68,17.6,1.05,2.51,250.63,3.08,8790956447,7800128913,-0.06,0.06,-6.15,5.06
5069,603322,超讯通信,46.18,-2.12,-1,63036,293013814,2.44,47.16,46.01,46.9,47.18,0.5,4,214.66,22.69,7277358239,7277358239,0,0.07,26.69,21.53
2969,301602,超研股份,26.22,0.15,0.04,38101,99842103.27,1.72,26.41,25.96,26.35,26.18,0.55,6.96,88.65,9.35,11230803108,1436238519,0.04,-0.04,291.34,291.34
950,301049,超越科技,24.89,2.01,0.49,26653,66129665,4.92,25.43,24.23,24.4,24.4,1.65,2.83,-49.9,3.27,2345965483,2345965483,-0.04,0,-15.63,3.71
